state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
Arkansas,AR,05,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exceptions: Notwithstanding subsection (b) of this section, the governing body of a local unit of government, following the proclamation by the Governor of a state of emergency, may enact an emergency ordinance regulating the transfer, transportation, or carrying of firearms or components of firearms.

(2) Such emergency ordinance shall not be effective for a period of more than twenty (20) days and shall be enacted by a two-thirds ( 2/3 ) majority of the governing body.",NA,AR1047
Arkansas,AR,05,2024,1,waiting period,federal,handgun,NA,NA,NA,NA,AR1050
Arkansas,AR,05,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AR1051
Arkansas,AR,05,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,"Defines ""journey"" to be any travel outside of the home",NA,AR1052
Arkansas,AR,05,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,AR1053
Arkansas,AR,05,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AR1054
Arkansas,AR,05,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AR1056
Arkansas,AR,05,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,AR1057
Arkansas,AR,05,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,AR1058
Arkansas,AR,05,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,AR1059
